Tamanho,Repeticao,Fonte,Algoritmo,Tempo_s,CO2_kg
100,7,66,Dijkstra Min-Heap,0.0017464160919189453,1.169515913440595e-08
100,7,66,NetworkX Referencia,0.0007503032684326172,7.073176712571579e-09
100,7,68,Dijkstra Classico,0.0015594959259033203,1.1182825375310299e-08
100,7,68,Dijkstra Min-Heap,0.0016489028930664062,1.1822752081839918e-08
100,7,68,NetworkX Referencia,0.0006871223449707031,7.17201645391926e-09
100,7,87,Dijkstra Classico,0.002162933349609375,1.3784984313131235e-08
100,7,87,Dijkstra Min-Heap,0.0017008781433105469,1.1386208420795157e-08
100,7,87,NetworkX Referencia,0.0010936260223388672,8.25865732069465e-09
100,7,92,Dijkstra Classico,0.0014445781707763672,1.0754804284099334e-08
100,7,92,Dijkstra Min-Heap,0.0011513233184814453,9.453925492852112e-09
100,7,92,NetworkX Referencia,0.0006837844848632812,7.490065741885995e-09
100,7,94,Dijkstra Classico,0.0014574527740478516,1.0931824603759458e-08
100,7,94,Dijkstra Min-Heap,0.0012226104736328125,9.575298580125454e-09
100,7,94,NetworkX Referencia,0.0006773471832275391,7.57489302552361e-09
100,8,94,Dijkstra Classico,0.0014750957489013672,1.0886349062528665e-08
100,8,94,Dijkstra Min-Heap,0.0011374950408935547,9.533415921163021e-09
100,8,94,NetworkX Referencia,0.0010628700256347656,8.325250640886643e-09
100,8,85,Dijkstra Classico,0.0022096633911132812,1.4145665372441904e-08
100,8,85,Dijkstra Min-Heap,0.0019459724426269531,1.4126864397514158e-08
100,8,85,NetworkX Referencia,0.0006670951843261719,6.876640203531242e-09
100,8,25,Dijkstra Classico,0.0014717578887939453,1.0880713659977253e-08
100,8,25,Dijkstra Min-Heap,0.002638101577758789,1.6618322031824213e-08
100,8,25,NetworkX Referencia,0.0007250308990478516,7.079988057670342e-09
100,8,46,Dijkstra Classico,0.0014586448669433594,1.072328612714152e-08
100,8,46,Dijkstra Min-Heap,0.0011205673217773438,9.210551202146972e-09
100,8,46,NetworkX Referencia,0.0007226467132568359,7.067480915576082e-09
100,8,55,Dijkstra Classico,0.004029512405395508,2.8983020570140344e-08
100,8,55,Dijkstra Min-Heap,0.001791238784790039,1.1855402805124187e-08
100,8,55,NetworkX Referencia,0.001073598861694336,8.287407853484436e-09
100,9,8,Dijkstra Classico,0.0022029876708984375,2.45369322125604e-08
100,9,8,Dijkstra Min-Heap,0.0011219978332519531,9.151575630914373e-09
100,9,8,NetworkX Referencia,0.0007584095001220703,8.298984960136382e-09
